City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yarmouth,41.7057,-70.2286,18.34,93,100,3.09,US,1686714786
1,kalashnikovo,57.2824,35.2262,14.33,59,0,0.32,RU,1686714786
2,hami,42.8,93.45,36.19,7,81,2.07,CN,1686714786
3,hobyo,5.3505,48.5268,26.1,82,96,8.93,SO,1686714786
4,adamstown,-25.066,-130.1015,20.1,72,18,0.66,PN,1686714786
5,uusikaupunki,60.8004,21.4084,13.95,64,32,1.03,FI,1686714787
6,qaqortoq,60.7167,-46.0333,3.74,99,100,1.42,GL,1686714787
7,edinburgh of the seven seas,-37.0676,-12.3116,14.94,78,83,13.21,SH,1686714787
8,rongelap,11.1635,166.8941,27.77,82,100,9.15,MH,1686714787
9,severnoye,56.3491,78.3619,14.89,45,8,3.98,RU,1686714787
10,east london,-33.0153,27.9116,18.52,42,0,6.17,ZA,1686714787
11,blackmans bay,-43.0167,147.3167,14.07,73,92,0.67,AU,1686714787
12,port-aux-francais,-49.35,70.2167,6.08,93,99,6.16,TF,1686714787
13,emerald,-23.5333,148.1667,25.75,38,1,1.8,AU,1686714787
14,sur,22.5667,59.5289,32.97,58,100,1.55,OM,1686714788
15,thames,-37.1333,175.5333,11.23,66,0,1.13,NZ,1686714788
16,kittila,67.6647,24.8936,10.34,61,0,1.54,FI,1686714788
17,olonkinbyen,70.9221,-8.7187,2.18,94,100,8.48,SJ,1686714788
18,zorritos,-3.6805,-80.6782,26.16,71,16,0.3,PE,1686714788
19,san luis,-33.295,-66.3356,5.64,23,16,4.78,AR,1686714553
20,port mathurin,-19.6833,63.4167,24.82,82,2,10.78,MU,1686714207
21,jamestown,42.097,-79.2353,12.79,86,100,3.09,US,1686714788
22,tazacorte,28.629,-17.9293,19.54,83,75,4.63,ES,1686714788
23,bredasdorp,-34.5322,20.0403,13.22,89,100,8.89,ZA,1686714788
24,thompson,55.7435,-97.8558,6.09,81,75,0.0,CA,1686714789
25,college,64.8569,-147.8028,17.18,56,75,9.77,US,1686714790
26,tiksi,71.6872,128.8694,2.52,79,40,3.94,RU,1686714790
27,tura,25.5198,90.2201,26.98,83,80,3.17,IN,1686714790
28,waitangi,-43.9535,-176.5597,11.01,95,100,2.68,NZ,1686714790
29,sitka,57.0531,-135.33,10.94,76,100,3.09,US,1686714790
30,nova sintra,14.8667,-24.7167,20.91,84,20,6.72,CV,1686714790
31,vila franca do campo,37.7167,-25.4333,19.23,94,34,2.21,PT,1686714790
32,kapuskasing,49.4169,-82.4331,16.05,94,100,1.54,CA,1686714747
33,boundiali,9.5217,-6.4869,22.29,92,100,1.77,CI,1686714791
34,balqash,46.8481,74.995,21.33,37,0,13.0,KZ,1686714791
35,pankovka,58.5,31.1999,15.86,53,2,0.54,RU,1686714791
36,grytviken,-54.2811,-36.5092,-4.72,83,26,3.69,GS,1686714791
37,iqaluit,63.7506,-68.5145,1.85,74,75,2.06,CA,1686714791
38,najran,17.4924,44.1277,27.36,19,86,1.16,SA,1686714497
39,millersville,39.9979,-76.3541,18.78,73,20,1.54,US,1686714791
40,talnakh,69.4865,88.3972,4.56,69,99,4.62,RU,1686714791
41,anadyr,64.75,177.4833,6.28,48,40,17.88,RU,1686714792
42,pariaman,-0.619,100.12,31.03,71,100,1.6,ID,1686714792
43,hawaiian paradise park,19.5933,-154.9731,25.73,87,100,1.54,US,1686714792
44,bethel,41.3712,-73.414,17.19,78,0,1.54,US,1686714792
45,nabire,-3.3667,135.4833,26.65,85,100,0.21,ID,1686714792
46,port-gentil,-0.7193,8.7815,24.56,88,34,5.8,GA,1686714792
47,polyarnyy,69.1989,33.4478,7.86,69,39,7.28,RU,1686714792
48,devonport,-41.1667,146.35,14.45,80,25,0.89,AU,1686714792
49,whitehorse,60.7161,-135.0538,14.45,46,75,2.06,CA,1686714793
50,keskin,39.6731,33.6136,14.13,84,88,1.89,TR,1686714793
51,atafu village,-8.5421,-172.5159,28.65,75,19,3.94,TK,1686714793
52,smithers,54.7804,-127.1743,19.18,27,20,6.17,CA,1686714793
53,kudahuvadhoo,2.6708,72.8944,28.67,76,95,5.46,MV,1686714793
54,ushuaia,-54.8,-68.3,6.81,61,75,3.09,AR,1686714492
55,punta arenas,-53.15,-70.9167,3.06,93,100,4.63,CL,1686714317
56,lihue,21.9789,-159.3672,26.58,76,100,6.69,US,1686714793
57,rabo de peixe,37.8,-25.5833,18.73,94,75,1.54,PT,1686714793
58,presidente epitacio,-21.7633,-52.1156,11.91,96,100,3.35,BR,1686714793
59,margaret river,-33.95,115.0667,15.07,61,79,4.69,AU,1686714534
60,el fasher,13.6279,25.3494,24.22,72,100,6.16,SD,1686714794
61,rawson,-43.3002,-65.1023,8.4,28,100,3.87,AR,1686714794
62,najaf,31.9985,44.3398,30.88,19,0,3.6,IQ,1686714794
